公司名稱,公司代號,營業收入(百萬元),毛利率(%),營業利益率(%),稅前純益率(%),稅後純益率(%)
旺旺保,2816,"6,028.60",35.18,10.41,10.58,10.67
台產,2832,"3,935.21",40.94,17.43,17.34,14.70
新產,2850,"11,688.05",31.20,11.13,11.34,9.46
第一保,2852,"4,490.91",33.59,11.64,11.64,9.89
欣欣,2901,97.16,87.60,20.06,26.12,20.94
匯僑,2904,386.31,46.93,33.62,32.84,26.04
特力,2908,"28,994.31",27.11,2.18,-0.16,-0.10
麗嬰房,2911,"3,595.16",43.00,-9.75,-8.82,-8.22
農林,2913,222.99,41.28,-57.76,-13.04,-1.86
鼎固-KY,2923,"4,346.51",50.08,32.90,40.21,208.36
客思達-KY,2936,"8,872.05",29.22,0.32,-0.63,-0.44
歐格,3002,498.99,29.32,2.91,11.34,9.16
豐達科,3004,"2,106.99",30.51,17.29,17.02,12.85
晶豪科,3006,"8,905.88",12.91,2.83,3.93,3.34
華立,3010,"40,665.87",7.75,2.99,3.80,3.02
晟銘電,3013,"4,230.70",7.75,1.33,2.50,1.77
全漢,3015,"10,428.01",10.27,-0.98,1.37,1.00
奇鋐,3017,"26,313.08",11.05,2.79,3.79,2.55
亞光,3019,"14,149.90",19.89,8.39,10.58,8.71
威強電,3022,"4,335.67",35.44,12.99,21.73,16.45
憶聲,3024,"1,058.00",24.56,2.87,7.49,6.35
禾伸堂,3026,"10,837.80",22.01,8.96,9.86,7.31
增你強,3028,"20,091.71",5.80,1.76,1.50,1.07
德律,3030,"3,238.52",56.91,28.03,28.26,22.68
偉訓,3032,"5,637.85",15.18,3.33,6.00,4.79
聯詠,3034,"47,846.60",31.95,15.50,15.85,12.80
文曄,3036,"238,412.94",3.35,1.63,1.00,0.77
全台,3038,"3,082.67",19.28,7.34,8.76,7.35
揚智,3041,"1,482.82",35.88,-24.63,-20.57,-16.60
科風,3043,863.85,23.31,9.97,10.58,10.56
台灣大,3045,"90,313.14",27.07,14.21,13.91,11.18
訊舟,3047,"4,025.89",25.24,1.46,4.17,2.68
和鑫,3049,"3,279.23",36.69,30.04,28.11,23.90
力特,3051,"1,840.85",17.24,3.93,-6.70,-8.47
立萬利,3054,83.80,5.24,-76.38,14.38,8.00
總太,3056,"3,128.65",18.80,14.14,14.48,13.70
立德,3058,"3,441.34",12.80,-2.09,-1.02,-1.05
銘異,3060,"4,002.83",1.18,-10.60,-10.81,-9.45
日電貿,3090,"6,658.70",16.97,9.81,10.80,8.06
一零四,3130,"1,233.36",90.00,20.93,21.77,18.02
景岳,3164,266.79,66.02,23.50,28.99,22.87
景碩,3189,"16,091.21",9.65,-11.01,-12.12,-12.61
晟鈦,3229,409.11,11.62,-23.13,-24.59,-24.56
虹冠電,3257,466.17,40.23,3.64,13.36,12.35
勝德,3296,"2,115.23",17.41,2.81,1.50,1.30
聯德,3308,461.34,1.54,-18.81,-14.23,-13.80
弘憶股,3312,"8,898.41",4.86,1.82,1.77,1.36
泰碩,3338,"3,272.01",23.90,9.31,9.17,6.52
奇偶,3356,"1,059.43",38.84,3.18,7.07,5.81
明泰,3380,"11,147.44",17.15,1.19,2.25,1.55
玉晶光,3406,"8,264.88",45.30,26.25,25.77,18.50
融程電,3416,"1,259.32",37.00,16.46,18.51,14.83
台端,3432,44.27,35.36,-30.61,195.15,122.69
創意,3443,"7,413.14",33.03,4.78,5.98,4.83
晶睿,3454,"5,224.34",30.39,5.17,5.66,4.55
誠研,3494,770.95,8.86,-34.32,-23.45,-24.89
揚明光,3504,"3,644.17",21.59,0.70,1.57,1.45
柏騰,3518,397.44,12.99,-18.53,-15.50,-22.75
晶相光,3530,"1,616.08",20.05,5.94,7.18,6.11
嘉澤,3533,"11,017.26",34.73,16.79,18.26,13.82
誠創,3536,947.82,5.61,-9.39,-10.67,-10.67
聯穎,3550,"2,526.67",17.99,1.66,2.18,0.90
牧德,3563,"2,093.63",66.14,45.55,46.25,37.30
辛耘,3583,"3,204.94",34.28,10.72,11.43,8.90
艾笛森,3591,"1,778.70",18.21,0.27,1.33,0.52
智易,3596,"25,170.48",12.94,5.39,5.53,4.39
谷崧,3607,"3,375.26",-1.48,-15.91,-3.55,-3.11
洋華,3622,593.88,11.76,-14.56,18.62,18.29
健策,3653,"3,961.56",28.98,15.89,17.53,14.23
貿聯-KY,3665,"17,239.05",23.76,9.70,10.23,7.86
TPK-KY,3673,"99,662.16",4.11,0.58,0.93,0.40
亞太電,3682,"10,548.87",3.66,-37.35,-37.32,-37.27
海華,3694,"5,685.61",9.09,-1.84,-2.26,-2.26
大眾控,3701,"5,228.85",16.26,1.30,3.58,2.43
欣陸,3703,"17,072.44",12.05,6.11,3.48,1.72
永信,3705,"5,915.04",47.24,10.61,11.51,8.57
上緯投控,3708,"4,508.21",19.52,6.50,13.86,10.85
永崴投控,3712,"6,203.10",7.38,-6.02,-2.60,-3.55
雃博,4106,"1,519.85",42.01,6.24,6.43,4.56
旭富,4119,"1,835.79",41.67,31.23,32.96,26.23
麗豐-KY,4137,"3,721.34",84.77,35.27,38.89,28.35
國光生,4142,672.30,8.52,-41.31,-41.98,-41.98
全宇生技-KY,4148,"1,395.47",22.20,3.82,5.71,2.68
承業醫,4164,"2,339.97",26.77,18.15,17.04,13.41
炎洲,4306,"12,133.04",11.48,1.23,1.56,0.30
利勤,4426,"1,842.78",33.57,23.08,23.17,18.23
冠星-KY,4439,"5,808.20",17.46,8.32,8.21,6.23
瑞智,4532,"15,462.58",14.64,4.75,4.42,3.55
全球傳動,4540,"1,572.06",18.53,-0.88,-1.06,-1.56
智伸科,4551,"3,658.23",28.04,18.41,17.70,12.64
氣立,4555,"1,024.85",33.95,5.07,5.48,4.87
強信-KY,4560,"1,336.22",38.75,19.31,20.48,14.77
元翎,4564,"2,154.66",34.40,26.47,25.18,20.45
鈞興-KY,4571,"1,213.03",33.04,15.68,17.54,14.92
大銀微系統,4576,"1,547.27",31.73,1.70,3.24,2.53
德淵,4720,"2,389.45",19.40,1.82,2.39,1.67
信昌化,4725,"8,175.32",-5.66,-9.64,-10.14,-10.50
康普,4739,"4,759.46",7.70,3.63,3.67,2.45
三福化,4755,"3,007.63",17.19,8.65,9.49,7.94
雙鍵,4764,"2,706.64",20.51,8.07,8.41,6.64
日成-KY,4807,"1,122.64",9.97,-12.54,-12.71,-13.80
正文,4906,"14,429.29",9.42,0.51,2.60,1.99
致伸,4915,"55,635.97",11.67,3.29,3.65,2.83
新唐,4919,"7,577.82",39.74,5.32,6.32,5.15
燦星網,4930,"8,596.23",16.38,1.97,5.38,3.64
茂林-KY,4935,"3,671.74",17.38,5.70,6.61,6.05
嘉彰,4942,"5,577.75",22.97,11.91,14.41,8.73
凌通,4952,"2,048.33",34.44,9.47,10.45,9.61
臻鼎-KY,4958,"78,094.97",20.59,10.02,11.47,9.23
天鈺,4961,"6,799.41",20.49,4.30,4.63,3.85
立積,4968,"1,915.87",37.95,9.67,9.77,7.59
眾達-KY,4977,"1,797.68",25.94,14.01,10.28,10.33
傳奇,4994,"2,866.03",49.02,16.23,16.89,12.88
三星,5007,"5,084.99",21.47,15.39,16.16,12.85
科嘉-KY,5215,"1,522.06",26.78,14.69,17.15,11.87
達興材料,5234,"3,420.82",33.90,16.03,16.25,13.97
虹堡,5258,"2,334.76",25.74,-7.76,-7.41,-6.29
祥碩,5269,"2,745.49",49.75,31.03,31.74,26.38
jpp-KY,5284,"1,081.34",31.08,10.44,8.61,8.21
豐祥-KY,5288,"3,961.85",17.90,12.83,14.58,11.62
中磊,5388,"22,238.43",16.49,3.34,3.79,3.07
瀚宇博,5469,"32,110.60",17.22,7.67,10.16,7.59
慧友,5484,225.84,19.42,-39.45,-35.00,-30.71
隆大,5519,"2,752.58",21.00,15.52,15.97,14.46
遠雄,5522,"14,662.89",27.37,18.91,18.09,14.24
鄉林,5531,"3,417.35",32.30,2.56,-25.37,-26.50
長虹,5534,"6,417.90",40.23,35.19,37.08,33.75
遠雄港,5607,"1,815.76",65.19,48.60,44.81,35.07
鳳凰,5706,"2,383.69",13.82,6.46,8.59,7.20
台南-KY,5906,"1,358.97",57.53,2.96,1.93,0.42
競國,6108,"5,895.70",14.17,4.30,7.98,5.80
鎰勝,6115,"4,850.97",18.02,9.92,13.85,9.51
迎廣,6117,"1,489.43",16.79,-8.82,-8.56,-9.51
上福,6128,"4,823.35",35.27,7.24,6.79,5.49
金橋,6133,882.03,19.91,0.94,4.98,3.40
亞翔,6139,"11,324.48",6.99,2.24,7.05,5.21
友勁,6142,"2,656.41",6.40,-10.65,-9.25,-9.25
嘉聯益,6153,"12,977.47",14.92,3.98,4.15,2.96
華興,6164,703.00,26.09,-7.09,-4.64,-3.85
凌華,6166,"7,621.23",40.54,6.01,5.52,4.20
互億,6172,434.98,1.55,-0.30,2.22,2.03
達麗,6177,"5,899.34",26.00,16.92,14.34,13.54
大豐電,6184,"1,508.81",48.10,30.79,30.64,25.78
精成科,6191,"16,330.72",13.23,3.85,4.65,3.43
帆宣,6196,"17,544.08",10.66,3.34,3.94,2.94
亞弘電,6201,"2,541.24",20.51,8.74,10.49,8.36
詮欣,6205,905.07,28.63,7.06,13.67,11.27
今國光,6209,"2,545.94",4.61,-7.30,-5.14,-4.67
精誠,6214,"16,038.00",25.02,4.12,7.25,6.29
居易,6216,685.14,49.60,19.01,22.05,17.47
天瀚,6225,7.85,3.45,-132.77,-62.52,-62.52
超眾,6230,"6,230.84",22.30,12.01,12.65,9.43
力成,6239,"47,217.14",18.00,11.91,12.00,9.54
定穎,6251,"10,158.80",11.79,2.75,1.62,0.93
台郡,6269,"17,300.05",18.69,9.46,11.01,8.68
宏正,6277,"3,696.40",60.07,14.90,15.96,12.19
全國電,6281,"13,841.17",18.29,3.41,3.38,2.70
淳安,6283,826.40,20.25,0.62,7.93,4.44
聯嘉,6288,"3,154.69",19.57,5.54,6.51,5.08
悅城,6405,438.19,16.90,-2.75,-1.87,0.17
群電,6412,"25,531.95",16.25,6.57,6.60,5.23
矽力-KY,6415,"7,455.86",46.32,18.40,22.96,22.03
光麗-KY,6431,205.74,5.25,-13.59,-2.76,-4.22
元晶,6443,"3,433.66",6.35,-0.03,-2.14,-2.37
訊芯-KY,6451,"4,353.59",20.01,8.37,10.61,9.90
GIS-KY,6456,"85,719.18",8.30,1.72,2.45,2.56
安集,6477,"1,227.89",23.06,17.61,15.03,12.98
南六,6504,"4,834.71",18.31,10.10,11.92,7.62
捷敏-KY,6525,"2,575.16",30.95,22.46,25.39,19.86
晶心科,6533,361.65,99.80,0.81,1.97,1.57
易華電,6552,"2,346.01",31.12,23.51,24.28,19.40
虹揚-KY,6573,"1,292.02",7.01,-9.09,-5.46,-5.99
鋼聯,6581,"1,286.76",48.99,36.54,36.83,28.31
動力-KY,6591,849.00,23.89,8.99,11.42,7.53
帝寶,6605,"11,549.24",26.31,8.43,6.21,4.96
基士德-KY,6641,"1,435.30",38.61,12.43,15.08,11.73
羅麗芬-KY,6666,"1,027.14",69.42,40.44,45.28,35.21
緯穎,6669,"114,046.04",6.77,4.70,4.65,3.70
三能-KY,6671,"1,359.55",36.81,10.41,12.61,8.63
鋐寶科技,6674,"2,282.99",13.08,0.34,0.69,0.83
惠特,6706,"2,909.28",29.53,11.62,12.64,9.94
台通,8011,"1,059.24",10.55,-7.47,-10.67,-12.23
尖點,8021,"2,201.05",27.72,9.79,10.92,8.01
雷虎,8033,618.30,37.07,-4.07,-1.17,-0.94
南電,8046,"22,318.99",3.37,-1.77,0.16,0.13
陞泰,8072,584.82,11.07,-14.36,-11.25,-11.90
華冠,8101,"1,567.15",11.04,-24.63,-4.29,-4.29
錸寶,8104,"1,308.32",16.36,1.14,6.31,5.94
華東,8110,"4,875.06",-3.06,-8.97,-0.39,0.13
振樺電,8114,"7,303.33",34.27,9.99,8.01,5.40
南茂,8150,"14,766.40",18.01,10.54,15.94,13.91
無敵,8201,904.37,14.62,-7.00,-4.63,-4.65
志超,8213,"16,490.33",14.51,6.63,7.22,5.22
寶一,8222,599.03,20.26,5.81,9.38,7.50
富鼎,8261,"1,601.12",15.96,3.46,3.76,2.46
日友,8341,"1,909.87",61.67,45.35,47.63,38.07
羅昇,8374,"2,243.01",14.07,-1.12,-1.59,-1.43
福貞-KY,8411,"4,248.54",8.16,-1.17,-3.11,-3.14
基勝-KY,8427,"3,298.35",20.16,-1.66,-0.26,-1.20
威宏-KY,8442,"4,900.60",17.14,3.72,3.20,2.96
富邦媒,8454,"35,922.57",9.91,3.16,3.33,2.71
潤泰材,8463,"2,254.94",9.34,3.36,2.94,2.32
美吉吉-KY,8466,"2,614.32",26.32,14.06,14.98,11.74
山林水,8473,"3,390.04",20.14,14.73,12.07,8.86
泰昇-KY,8480,"1,422.34",29.94,14.95,18.26,16.58
商億-KY,8482,"2,973.10",39.52,20.33,23.30,22.25
格威傳媒,8497,"2,751.08",34.37,4.87,5.09,3.84
台汽電,8926,"3,704.78",8.29,3.69,25.18,24.78
高力,8996,"1,626.89",28.81,11.61,12.14,9.63
台火,9902,98.33,6.85,-11.97,30.85,30.85
大華,9905,"6,341.79",13.68,7.10,7.85,5.97
統一實,9907,"24,972.53",10.44,3.49,2.56,1.79
豐泰,9910,"54,936.71",24.59,11.91,14.02,10.00
偉聯,9912,434.65,34.35,-5.44,-7.39,-8.67
中保科,9917,"10,002.12",36.64,19.26,20.13,16.35
康那香,9919,"2,998.95",14.26,-0.80,-0.82,-0.76
福興,9924,"6,584.56",23.99,13.82,14.69,10.56
新海,9926,"1,838.82",23.73,17.44,20.55,16.87
中視,9928,525.60,-5.51,-29.96,-19.94,-19.94
中聯資源,9930,"7,008.33",16.73,11.99,11.78,9.24
中鼎,9933,"43,053.02",5.29,2.33,2.74,2.06
慶豐富,9935,"4,148.28",18.76,7.87,6.84,5.49
百和,9938,"11,608.98",35.38,17.75,16.70,11.06
信義,9940,"9,304.70",31.20,17.57,18.43,10.91
茂順,9942,"2,252.55",34.12,19.09,19.82,14.31
新麗,9944,"2,237.10",24.14,3.18,2.42,0.73
三發地產,9946,"3,930.37",40.88,32.90,32.61,32.47
世紀鋼,9958,"1,427.30",10.29,-2.17,42.90,40.42
